layer,bits,bit_setting,view,mode,rotation_seed,qjl_seed,prompt_count,token_count,orthogonality_error,train_logit_cosine_similarity,train_logit_mse
3,3.5,3.5,vector,key_only_block_so8_triality_vector,76376,76430,4,73,0.0078125,0.99609375,255.0
3,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,76633,76687,4,73,0.00390625,0.9921875,215.0
3,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,76890,76944,4,73,0.0078125,0.9921875,222.0
3,4.0,4,vector,key_only_block_so8_triality_vector,76426,76480,4,73,0.0078125,1.0,177.0
3,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,76683,76737,4,73,0.0078125,0.99609375,125.0
3,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,76940,76994,4,73,0.00390625,1.0,129.0
4,2.0,2,vector,key_only_block_so8_triality_vector,78229,78283,4,73,0.0078125,1.0,872.0
4,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,78486,78540,4,73,0.0078125,0.99609375,1080.0
4,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,78743,78797,4,73,0.0078125,0.99609375,904.0
4,2.5,2.5,vector,key_only_block_so8_triality_vector,78279,78333,4,73,0.0078125,0.99609375,776.0
4,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,78536,78590,4,73,0.0078125,0.99609375,572.0
4,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,78793,78847,4,73,0.0078125,0.99609375,668.0
4,3.0,3,vector,key_only_block_so8_triality_vector,78329,78383,4,73,0.004058837890625,1.0,338.0
4,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,78586,78640,4,73,0.0078125,0.99609375,334.0
4,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,78843,78897,4,73,0.0078125,1.0,504.0
4,3.5,3.5,vector,key_only_block_so8_triality_vector,78379,78433,4,73,0.004058837890625,0.99609375,214.0
4,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,78636,78690,4,73,0.0078125,0.99609375,228.0
4,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,78893,78947,4,73,0.0078125,0.99609375,207.0
4,4.0,4,vector,key_only_block_so8_triality_vector,78429,78483,4,73,0.00390625,1.0,129.0
4,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,78686,78740,4,73,0.0078125,1.0,166.0
4,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,78943,78997,4,73,0.0078125,1.0,162.0
5,2.0,2,vector,key_only_block_so8_triality_vector,80232,80286,4,73,0.0078125,0.99609375,984.0
5,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,80489,80543,4,73,0.0078125,0.99609375,792.0
5,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,80746,80800,4,73,0.0078125,1.0,728.0
5,2.5,2.5,vector,key_only_block_so8_triality_vector,80282,80336,4,73,0.0078125,1.0,520.0
5,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,80539,80593,4,73,0.0078125,1.0,620.0
5,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,80796,80850,4,73,0.0078125,1.0,504.0
5,3.0,3,vector,key_only_block_so8_triality_vector,80332,80386,4,73,0.0078125,1.0,282.0
5,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,80589,80643,4,73,0.0078125,0.99609375,340.0
5,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,80846,80900,4,73,0.0078125,1.0,246.0
5,3.5,3.5,vector,key_only_block_so8_triality_vector,80382,80436,4,73,0.0078125,1.0,211.0
5,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,80639,80693,4,73,0.0078125,1.0,213.0
5,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,80896,80950,4,73,0.0078125,1.0,193.0
5,4.0,4,vector,key_only_block_so8_triality_vector,80432,80486,4,73,0.00390625,0.99609375,124.5
5,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,80689,80743,4,73,0.0078125,1.0,96.5
5,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,80946,81000,4,73,0.0078125,1.0,79.0
6,2.0,2,vector,key_only_block_so8_triality_vector,82235,82289,4,73,0.0078125,1.0,640.0
6,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,82492,82546,4,73,0.0078125,0.9921875,680.0
6,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,82749,82803,4,73,0.0078125,0.9921875,764.0
6,2.5,2.5,vector,key_only_block_so8_triality_vector,82285,82339,4,73,0.0078125,1.0,464.0
6,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,82542,82596,4,73,0.0078125,1.0,504.0
6,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,82799,82853,4,73,0.0078125,1.0,472.0
6,3.0,3,vector,key_only_block_so8_triality_vector,82335,82389,4,73,0.0078125,1.0,230.0
6,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,82592,82646,4,73,0.0078125,1.0,237.0
6,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,82849,82903,4,73,0.0078125,1.0,356.0
6,3.5,3.5,vector,key_only_block_so8_triality_vector,82385,82439,4,73,0.0078125,1.0,174.0
6,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,82642,82696,4,73,0.0078125,1.0,191.0
6,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,82899,82953,4,73,0.0078125,1.0,178.0
6,4.0,4,vector,key_only_block_so8_triality_vector,82435,82489,4,73,0.0078125,0.9921875,88.0
6,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,82692,82746,4,73,0.0078125,1.0,121.0
6,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,82949,83003,4,73,0.0078125,1.0,88.5
7,2.0,2,vector,key_only_block_so8_triality_vector,84238,84292,4,73,0.0078125,0.99609375,772.0
7,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,84495,84549,4,73,0.00390625,0.99609375,596.0
7,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,84752,84806,4,73,0.0078125,0.99609375,748.0
7,2.5,2.5,vector,key_only_block_so8_triality_vector,84288,84342,4,73,0.0078125,0.99609375,390.0
7,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,84545,84599,4,73,0.00390625,0.99609375,424.0
7,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,84802,84856,4,73,0.0078125,0.99609375,410.0
7,3.0,3,vector,key_only_block_so8_triality_vector,84338,84392,4,73,0.0078125,0.99609375,264.0
7,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,84595,84649,4,73,0.0078125,1.0078125,192.0
7,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,84852,84906,4,73,0.0078125,1.0,231.0
7,3.5,3.5,vector,key_only_block_so8_triality_vector,84388,84442,4,73,0.0078125,1.0,154.0
7,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,84645,84699,4,73,0.0078125,1.0,141.0
7,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,84902,84956,4,73,0.0078125,1.0,152.0
7,4.0,4,vector,key_only_block_so8_triality_vector,84438,84492,4,73,0.0078125,1.0,82.5
7,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,84695,84749,4,73,0.0078125,1.0,56.0
7,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,84952,85006,4,73,0.0078125,1.0,83.0
