dataset,trial,layer,mode,bit_setting,bits,logit_cosine_similarity,logit_mae,logit_mse,next_logit_kl,logit_spearman,logit_top1_match,logit_top5_match,logit_top5_overlap,hidden_cosine_similarity,hidden_mae,hidden_mse,attention_output_relative_error,memory_bits,memory_ratio_vs_exact,prefill_seconds,decode_seconds,peak_vram_mb,key_mode,value_mode,value_rotation_policy,rotation_seed,qjl_seed
paper_captured,0,0,full_kv,3,3.0,1.0,8.375,111.0,6.225692162319107e-20,0.99048912525177,1.0,1.0,0.912500023841858,0.9765625,0.10595703125,0.0186767578125,0.1845703125,76032.0,0.193359375,0.0411793999955989,0.0023341000051004,0.0,full_kv,full_kv,random_haar,20041.0,20113.0
paper_captured,0,0,key_only_random,3.5,3.5,0.99609375,7.75,101.5,6.268043809681824e-20,0.9892539381980896,1.0,1.0,0.9500000476837158,1.0,0.00665283203125,0.0001649856567382,0.0172119140625,238080.0,0.60546875,0.0233620999933918,0.0046922999899834,0.0,key_only_random,exact,exact,20046.0,20118.0
paper_captured,0,0,full_kv,3.5,3.5,0.99609375,7.75,101.5,6.268043809681824e-20,0.9892539381980896,1.0,1.0,0.9500000476837158,0.984375,0.087890625,0.01263427734375,0.1513671875,82176.0,0.208984375,0.0603067000047303,0.0114538999914657,0.0,full_kv,full_kv,random_haar,20046.0,20118.0
paper_captured,0,0,key_only_random,4,4.0,1.0,5.375,45.75,-8.385626177817573e-20,0.9959239363670348,1.0,1.0,0.9625000357627868,1.0,0.004638671875,7.343292236328125e-05,0.01153564453125,247296.0,0.62890625,0.0312866999884136,0.0059525999968172,0.0,key_only_random,exact,exact,20051.0,20123.0
paper_captured,0,0,full_kv,4,4.0,1.0,5.375,45.75,-8.385626177817573e-20,0.9959239363670348,1.0,1.0,0.9625000357627868,0.9921875,0.0576171875,0.005462646484375,0.09912109375,100608.0,0.255859375,0.0432983000064268,0.0053031999996164,0.0,full_kv,full_kv,random_haar,20051.0,20123.0
paper_captured,0,0,exact,exact,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,753664.0,1.0,0.0009973999985959,0.0003036999987671,0.0,,,,,
paper_captured,0,0,key_only_random,2,2.0,0.99609375,15.3125,386.0,-8.470329472543003e-21,0.9754446148872375,1.0,1.0,0.7749999761581421,0.99609375,0.0238037109375,0.00518798828125,0.0859375,426880.0,0.56640625,0.0380570999986957,0.0047454000014113,0.0,key_only_random,exact,exact,20031.0,20103.0
paper_captured,0,0,full_kv,2,2.0,0.99609375,15.3125,386.0,-8.470329472543003e-21,0.9754446148872375,1.0,1.0,0.7749999761581421,0.93359375,0.2236328125,0.083984375,0.34375,98624.0,0.130859375,0.0904107999958796,0.0056442999921273,0.0,full_kv,full_kv,random_haar,20031.0,20103.0
paper_captured,0,0,key_only_random,2.5,2.5,0.99609375,11.25,201.0,1.905824131322176e-21,0.9799736142158508,1.0,1.0,0.8125,0.99609375,0.0118408203125,0.00103759765625,0.038330078125,432768.0,0.57421875,0.0674144000076921,0.0177476999961072,0.0,key_only_random,exact,exact,20036.0,20108.0
paper_captured,0,0,full_kv,2.5,2.5,0.99609375,11.25,201.0,1.905824131322176e-21,0.9799736142158508,1.0,1.0,0.8125,0.953125,0.1826171875,0.058349609375,0.287109375,110400.0,0.146484375,0.0962259000079939,0.0063267000077757,0.0,full_kv,full_kv,random_haar,20036.0,20108.0
