model_id,query_source,bits,cosine_similarity,mae,mse,spearman,top1_match,top5_match
Qwen/Qwen3.5-9B,synthetic,2.0,0.9509140849113464,1.2482389211654663,2.5410168170928955,0.955357015132904,1.0,1.0
Qwen/Qwen3.5-9B,synthetic,2.5,0.9797102808952332,0.7696825861930847,0.8870739340782166,0.9767856001853944,1.0,1.0
Qwen/Qwen3.5-9B,synthetic,3.0,0.9780877232551576,0.8363730907440186,1.017340898513794,0.9732142090797424,0.75,0.75
Qwen/Qwen3.5-9B,synthetic,3.5,0.9960810542106628,0.2995927333831787,0.1767873466014862,0.9964284896850586,1.0,1.0
Qwen/Qwen3.5-9B,synthetic,4.0,0.9954181909561156,0.3832206130027771,0.2422326207160949,0.992857038974762,1.0,1.0
