layer,bits,bit_setting,view,mode,rotation_path,rotation_seed,qjl_seed
0,2.0,2,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_k_only_smoke/rotations/layer_00_bits_2_vector.pt,70217,70271
0,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_k_only_smoke/rotations/layer_00_bits_2_spinor_plus_proxy.pt,70474,70528
0,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_k_only_smoke/rotations/layer_00_bits_2_spinor_minus_proxy.pt,70731,70785
