dataset,trial,layer,mode,bit_setting,bits,logit_cosine_similarity,logit_mae,logit_mse,next_logit_kl,logit_spearman,logit_top1_match,logit_top5_match,logit_top5_overlap,hidden_cosine_similarity,hidden_mae,hidden_mse,attention_output_relative_error,memory_bits,memory_ratio_vs_exact,prefill_seconds,decode_seconds,peak_vram_mb,key_mode,value_mode,value_rotation_policy,rotation_seed,qjl_seed
paper_synthetic_attention,0,0,exact,exact,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1048576.0,1.0,0.0005486000009113923,0.0030716000037500635,0.0,,,,,
paper_synthetic_attention,0,0,key_only_random,8,8.0,0.999716579914093,0.36880743503570557,0.21474525332450867,9.944982693699981e-33,0.9995298385620117,1.0,1.0,0.9750000238418579,1.0,2.895222496590577e-05,3.2203120170493094e-09,5.8367655583424494e-05,663552.0,0.6328125,1.4764356000086991,0.004428400003234856,0.0,key_only_random,exact,exact,20091.0,20163.0
paper_synthetic_attention,0,0,full_kv,8,8.0,0.999716579914093,0.36880743503570557,0.21474525332450867,9.944982693699981e-33,0.9995298385620117,1.0,1.0,0.9750000238418579,0.9997431039810181,0.01739555411040783,0.00048588390927761793,0.022671986371278763,274432.0,0.26171875,2.162253899994539,0.0015666000108467415,0.0,full_kv,full_kv,random_haar,20091.0,20163.0
